path,status,ttf_ms,content_type,bytes,canonical,robots,title,description,h1,html_lang,hreflang,schema_types,og_title,viewport,localhost_leak,privacy_leak,final_url
"/ru/for-buyers",200,219,"text/html",176844,"https://dordoi.help/ru/for-buyers","index, follow","Покупателям — как найти поставщиков на рынке Дордой | Dordoi.help","Страница для покупателей: поставщики Дордой, категории, доступ к контактам, байеры, карго и закупка из стран СНГ.","Покупателям: как найти поставщика на Дордое","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|Service|Audience|FAQPage|Question|Answer|BreadcrumbList|ListItem","Покупателям — как найти поставщиков на рынке Дордой","yes","no","","https://dordoi.help/ru/for-buyers"
"/ru/for-sellers",200,209,"text/html",173441,"https://dordoi.help/ru/for-sellers","index, follow","Продавцам Дордой — размещение в каталоге Dordoi.help | Dordoi.help","Для продавцов и поставщиков рынка Дордой: цифровая витрина, заявки от покупателей из СНГ, категории и безопасная выдача контактов.","Продавцам: зачем размещаться в Dordoi.help","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|Service|Audience|FAQPage|Question|Answer|BreadcrumbList|ListItem","Продавцам Дордой — размещение в каталоге Dordoi.help","yes","no","","https://dordoi.help/ru/for-sellers"
"/ru/buyer-service",200,211,"text/html",145574,"https://dordoi.help/ru/buyer-service","index, follow","Байерам — Dordoi.help | Dordoi.help","Инструменты для байеров: подбор товара, проверка качества, сбор заказов.","Байерам","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|Service|Audience|FAQPage|Question|Answer","Байерам — Dordoi.help","yes","no","","https://dordoi.help/ru/buyer-service"
"/ru/kargo-dordoi",200,280,"text/html",158829,"https://dordoi.help/ru/kargo-dordoi","index, follow","Карго Дордой — доставка товаров с рынка Дордой | Dordoi.help","Карго Дордой и доставка товаров из Бишкека. Узнайте, как найти байера, поставщика и организовать доставку через сервис Dordoi.help.","Карго Дордой: доставка товаров из Бишкека","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|Service|Audience|BreadcrumbList|ListItem|FAQPage|Question|Answer","Карго Дордой — доставка товаров с рынка Дордой","yes","no","","https://dordoi.help/ru/kargo-dordoi"
"/ru/blog",200,229,"text/html",217245,"https://dordoi.help/ru/blog","index, follow","Блог Dordoi.help — поставщики, опт, байеры и карго Дордой | Dordoi.help","Практические гиды Dordoi.help по рынку Дордой: как найти поставщика, купить оптом и организовать карго.","Блог Dordoi.help","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|CollectionPage|BreadcrumbList|ListItem","Блог Dordoi.help — поставщики, опт, байеры и карго Дордой","yes","no","","https://dordoi.help/ru/blog"
"/ru/dordoi-kazakhstan",200,203,"text/html",159640,"https://dordoi.help/ru/dordoi-kazakhstan","index, follow","Дордой Казахстан — поставщики, оптовая закупка и доставка | Dordoi.help","Как покупателям из Казахстана искать поставщиков на рынке Дордой: категории, байеры, карго и закупка оптом через Dordoi.help.","Дордой для Казахстана: поставщики, опт и доставка","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой Казахстан — поставщики, оптовая закупка и доставка","yes","no","","https://dordoi.help/ru/dordoi-kazakhstan"
"/ru/dordoi-uzbekistan",200,205,"text/html",158598,"https://dordoi.help/ru/dordoi-uzbekistan","index, follow","Дордой Узбекистан — поставщики, закупка и карго | Dordoi.help","Страница для покупателей из Узбекистана: как найти поставщика на Дордое, выбрать категорию, подключить байера и обсудить карго.","Дордой для Узбекистана: поставщики и закупка оптом","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой Узбекистан — поставщики, закупка и карго","yes","no","","https://dordoi.help/ru/dordoi-uzbekistan"
"/ru/dordoi-tajikistan",200,215,"text/html",158189,"https://dordoi.help/ru/dordoi-tajikistan","index, follow","Дордой Таджикистан — оптовая закупка и доставка | Dordoi.help","Как покупателям из Таджикистана искать поставщиков на рынке Дордой, работать с байером и организовать доставку партии.","Дордой для Таджикистана: оптовая закупка и доставка","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой Таджикистан — оптовая закупка и доставка","yes","no","","https://dordoi.help/ru/dordoi-tajikistan"
"/ru/dordoi-russia",200,215,"text/html",158182,"https://dordoi.help/ru/dordoi-russia","index, follow","Дордой Россия — поставщики, опт и доставка товаров | Dordoi.help","Покупателям из России: как искать поставщиков на Дордое, выбирать категории, работать с байером и планировать доставку.","Дордой для России: оптовая закупка через каталог","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой Россия — поставщики, опт и доставка товаров","yes","no","","https://dordoi.help/ru/dordoi-russia"
"/ru/dordoi-kyrgyzstan",200,194,"text/html",158187,"https://dordoi.help/ru/dordoi-kyrgyzstan","index, follow","Дордой Кыргызстан — рынок Дордой Бишкек и каталог поставщиков | Dordoi.help","Локальная страница для Кыргызстана: рынок Дордой в Бишкеке, поставщики, категории, байеры, карго и каталог Dordoi.help.","Дордой Кыргызстан: рынок в Бишкеке и каталог поставщиков","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой Кыргызстан — рынок Дордой Бишкек и каталог поставщиков","yes","no","","https://dordoi.help/ru/dordoi-kyrgyzstan"
"/ru/categories/zhenskaya-odezhda-optom",200,267,"text/html",326891,"https://dordoi.help/ru/categories/zhenskaya-odezhda-optom","index, follow","Женская одежда оптом Дордой — поставщики и продавцы | Dordoi.help","Поставщики женской одежды на рынке Дордой: оптовые продавцы, шоурумы и точки продаж. Найдите подходящего поставщика через каталог Dordoi.help.","Женская одежда оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Женская одежда оптом Дордой — поставщики и продавцы","yes","no","","https://dordoi.help/ru/categories/zhenskaya-odezhda-optom"
"/ru/categories/muzhskaya-odezhda-optom",200,261,"text/html",318909,"https://dordoi.help/ru/categories/muzhskaya-odezhda-optom","index, follow","Мужская одежда оптом Дордой — поставщики рынка Дордой | Dordoi.help","Каталог поставщиков мужской одежды на рынке Дордой: оптовые продавцы, магазины и точки продаж для закупки товаров в Бишкеке.","Мужская одежда оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Мужская одежда оптом Дордой — поставщики рынка Дордой","yes","no","","https://dordoi.help/ru/categories/muzhskaya-odezhda-optom"
"/ru/categories/detskaya-odezhda-optom",200,263,"text/html",320746,"https://dordoi.help/ru/categories/detskaya-odezhda-optom","index, follow","Детская одежда оптом Дордой — поставщики и продавцы | Dordoi.help","Поставщики детской одежды на рынке Дордой: оптовые продавцы, магазины и точки продаж. Подберите поставщика через каталог Dordoi.help.","Детская одежда оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Детская одежда оптом Дордой — поставщики и продавцы","yes","no","","https://dordoi.help/ru/categories/detskaya-odezhda-optom"
"/ru/categories/obuv-optom",200,258,"text/html",317224,"https://dordoi.help/ru/categories/obuv-optom","index, follow","Обувь оптом Дордой — поставщики обуви на рынке Дордой | Dordoi.help","Поставщики обуви на рынке Дордой: женская, мужская и детская обувь оптом. Найдите продавца через каталог Dordoi.help.","Обувь оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Обувь оптом Дордой — поставщики обуви на рынке Дордой","yes","no","","https://dordoi.help/ru/categories/obuv-optom"
"/ru/categories/tkani-shveynaya-furnitura-optom",200,234,"text/html",319163,"https://dordoi.help/ru/categories/tkani-shveynaya-furnitura-optom","index, follow","Ткани и швейная фурнитура оптом Дордой — поставщики | Dordoi.help","Поставщики тканей и швейной фурнитуры на рынке Дордой. Каталог оптовых продавцов для закупки материалов и сопутствующих товаров.","Ткани и швейная фурнитура оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Ткани и швейная фурнитура оптом Дордой — поставщики","yes","no","","https://dordoi.help/ru/categories/tkani-shveynaya-furnitura-optom"
"/ru/categories/sumki-kozhgalantereya-optom",200,218,"text/html",235875,"https://dordoi.help/ru/categories/sumki-kozhgalantereya-optom","index, follow","Сумки оптом Дордой — поставщики сумок и кожгалантереи | Dordoi.help","Каталог поставщиков сумок и кожгалантереи на рынке Дордой: оптовые продавцы, магазины и точки продаж для закупки в Бишкеке.","Сумки и кожгалантерея оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Сумки оптом Дордой — поставщики сумок и кожгалантереи","yes","no","","https://dordoi.help/ru/categories/sumki-kozhgalantereya-optom"
"/ru/categories/nizhnee-bele-kupalniki-optom",200,215,"text/html",313312,"https://dordoi.help/ru/categories/nizhnee-bele-kupalniki-optom","index, follow","Нижнее бельё и купальники оптом Дордой — поставщики | Dordoi.help","Оптовые поставщики нижнего белья, купальников и сопутствующих товаров на рынке Дордой. Каталог продавцов для закупки в Бишкеке.","Нижнее бельё и купальники оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Нижнее бельё и купальники оптом Дордой — поставщики","yes","no","","https://dordoi.help/ru/categories/nizhnee-bele-kupalniki-optom"
"/ru/categories/tekstil-dlya-doma-optom",200,230,"text/html",320900,"https://dordoi.help/ru/categories/tekstil-dlya-doma-optom","index, follow","Текстиль для дома оптом Дордой — поставщики | Dordoi.help","Поставщики домашнего текстиля на рынке Дордой: постельное бельё, полотенца, текстильные товары и другие позиции оптом.","Текстиль для дома оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Текстиль для дома оптом Дордой — поставщики","yes","no","","https://dordoi.help/ru/categories/tekstil-dlya-doma-optom"
"/ru/categories/aksessuary-optom",200,271,"text/html",320529,"https://dordoi.help/ru/categories/aksessuary-optom","index, follow","Аксессуары оптом Дордой — поставщики рынка Дордой | Dordoi.help","Поставщики аксессуаров на рынке Дордой: оптовые продавцы, магазины и точки продаж. Найдите подходящего поставщика через Dordoi.help.","Аксессуары оптом на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BreadcrumbList|ListItem|FAQPage|Question|Answer|CollectionPage|ItemList","Аксессуары оптом Дордой — поставщики рынка Дордой","yes","no","","https://dordoi.help/ru/categories/aksessuary-optom"
"/ru/blog/dordoi-optom-polnyy-gid",200,212,"text/html",170710,"https://dordoi.help/ru/blog/dordoi-optom-polnyy-gid","index, follow","Дордой оптом: полный гид по закупке для покупателей СНГ | Dordoi.help | Dordoi.help","Как покупать оптом на рынке Дордой: категории, поставщики, контакты, байер, карго, цены и безопасная проверка перед первой партией.","Дордой оптом: полный гид для покупателей","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BlogPosting|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой оптом: полный гид по закупке для покупателей СНГ | Dordoi.help","yes","no","","https://dordoi.help/ru/blog/dordoi-optom-polnyy-gid"
"/kk/blog/dordoi-koterme-tolyk-nuskaulyk",200,204,"text/html",167297,"https://dordoi.help/kk/blog/dordoi-koterme-tolyk-nuskaulyk","index, follow","Дордой көтерме толық нұсқаулық | Dordoi.help нұсқаулығы | Dordoi.help","Практикалық нұсқаулық: дордой көтерме толық нұсқаулық. Каталог, санаттар, байер, карго және контактілерге қауіпсіз қолжетімділік.","Дордой көтерме толық нұсқаулық","kk","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BlogPosting|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой көтерме толық нұсқаулық | Dordoi.help нұсқаулығы","yes","no","","https://dordoi.help/kk/blog/dordoi-koterme-tolyk-nuskaulyk"
"/kg/blog/dordoi-dununon-toluk-koldonmo",200,204,"text/html",167313,"https://dordoi.help/kg/blog/dordoi-dununon-toluk-koldonmo","index, follow","Дордой дүңүнөн толук колдонмо | Dordoi.help колдонмосу | Dordoi.help","Практикалык колдонмо: дордой дүңүнөн толук колдонмо. Каталог, категориялар, байер, карго жана контактка коопсуз доступ.","Дордой дүңүнөн толук колдонмо","ky","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BlogPosting|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой дүңүнөн толук колдонмо | Dordoi.help колдонмосу","yes","no","","https://dordoi.help/kg/blog/dordoi-dununon-toluk-koldonmo"
"/uz/blog/dordoy-ulgurji-toliq-qollanma",200,205,"text/html",170740,"https://dordoi.help/uz/blog/dordoy-ulgurji-toliq-qollanma","index, follow","Dordoy ulgurji to&#x27;liq qo&#x27;llanma | Dordoi.help qo&#x27;llanmasi | Dordoi.help","Amaliy qo&#x27;llanma: dordoy ulgurji to&#x27;liq qo&#x27;llanma. Katalog, toifalar, bayer, kargo va kontaktlarga xavfsiz kirish.","Dordoy ulgurji to&#x27;liq qo&#x27;llanma","uz","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BlogPosting|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Dordoy ulgurji to&#x27;liq qo&#x27;llanma | Dordoi.help qo&#x27;llanmasi","yes","no","","https://dordoi.help/uz/blog/dordoy-ulgurji-toliq-qollanma"
"/tj/blog/dordoi-yakluht-dasturi-purra",200,272,"text/html",167035,"https://dordoi.help/tj/blog/dordoi-yakluht-dasturi-purra","index, follow","Дордой яклухт дастури пурра | Роҳнамои Dordoi.help | Dordoi.help","Роҳнамои амалӣ: дордой яклухт дастури пурра. Каталог, категорияҳо, байер, карго ва дастрасии бехатар ба контактҳо.","Дордой яклухт дастури пурра","tg","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|BlogPosting|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Дордой яклухт дастури пурра | Роҳнамои Dordoi.help","yes","no","","https://dordoi.help/tj/blog/dordoi-yakluht-dasturi-purra"
"/sitemap.xml",200,202,"application/xml",386,"","default","","","","","","","","no","no","","https://dordoi.help/sitemap.xml"
"/sitemaps/core.xml",200,198,"application/xml",318001,"","default","","","","","ru|kk|ky|uz|tg|x-default","","","no","no","","https://dordoi.help/sitemaps/core.xml"
"/robots.txt",200,496,"text/plain",5710,"","default","","","","","","","","no","no","","https://dordoi.help/robots.txt"
"/llms.txt",200,205,"text/plain",2349,"","default","","","","","","","","no","no","","https://dordoi.help/llms.txt"
"/favicon.ico",200,517,"image/x-icon",0,"","default","","","","","","","","no","no","","https://dordoi.help/favicon.ico"
"/favicon-16.png",200,641,"image/png",347,"","default","","","","","","","","no","no","","https://dordoi.help/favicon-16.png"
"/favicon-32.png",200,201,"image/png",581,"","default","","","","","","","","no","no","","https://dordoi.help/favicon-32.png"
"/apple-touch-icon.png",200,467,"image/png",3310,"","default","","","","","","","","no","no","","https://dordoi.help/apple-touch-icon.png"
"/ru/catalog/postavshik-zhenskoy-odezhdy-a9e9",200,235,"text/html",331227,"https://dordoi.help/ru/suppliers/asso-corsets","noindex, follow","Поставщик женской одежды на рынке Дордой | Dordoi.help","Поставщик женской одежды на рынке Дордой. Посмотрите описание, категории и условия работы. Контакт доступен через сервис Dordoi.help.","Поставщик женской одежды на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|FAQPage|Question|Answer","Поставщик женской одежды на рынке Дордой","yes","no","","https://dordoi.help/ru/catalog/postavshik-zhenskoy-odezhdy-a9e9"
"/ru/suppliers/asso-corsets",200,1589,"text/html",275238,"https://dordoi.help/ru/suppliers/asso-corsets","index, follow","Поставщик женской одежды на рынке Дордой | Dordoi.help","Поставщик женской одежды на рынке Дордой. Посмотрите описание, категории и условия работы. Контакт доступен через сервис Dordoi.help.","Поставщик женской одежды на рынке Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|ProfilePage|Thing|FAQPage|Question|Answer","Поставщик женской одежды на рынке Дордой","yes","no","","https://dordoi.help/ru/suppliers/asso-corsets"
